MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
ATOK,IRRIGATED,2015,JAN,CABBAGE,98,120,2400,20
ATOK,IRRIGATED,2015,FEB,CABBAGE,115,76,1216,16
ATOK,IRRIGATED,2015,MAR,CABBAGE,82,51.19,972.61,19
ATOK,IRRIGATED,2015,APR,CABBAGE,5,98,2450,25
ATOK,IRRIGATED,2015,MAY,CABBAGE,54,115,2875,25
ATOK,IRRIGATED,2015,JUN,CABBAGE,46,81.55,1875.65,23
ATOK,IRRIGATED,2015,JUL,CABBAGE,15,5,55,11
ATOK,IRRIGATED,2015,AUG,CABBAGE,15,54,540,10
ATOK,IRRIGATED,2015,SEP,CABBAGE,34,6.5,65,10
ATOK,IRRIGATED,2015,OCT,CABBAGE,76,5,50,10
ATOK,IRRIGATED,2015,NOV,CABBAGE,118,7,70,10
ATOK,IRRIGATED,2015,DEC,CABBAGE,76,15,150,10
ATOK,IRRIGATED,2015,JAN,CHINESE CABBAGE,9.15,5.25,120.75,23
ATOK,IRRIGATED,2015,FEB,CHINESE CABBAGE,15.5,5.5,104.5,19
ATOK,IRRIGATED,2015,MAR,CHINESE CABBAGE,8.5,5.6,133.4,23.82
ATOK,IRRIGATED,2015,APR,CHINESE CABBAGE,5,9.25,231.25,25
ATOK,IRRIGATED,2015,MAY,CHINESE CABBAGE,10,15,375,25
ATOK,IRRIGATED,2015,JUN,CHINESE CABBAGE,9,8.75,218.75,25
ATOK,IRRIGATED,2015,JUL,CHINESE CABBAGE,5,5,55,11
ATOK,IRRIGATED,2015,AUG,CHINESE CABBAGE,4.75,10,100,10
ATOK,IRRIGATED,2015,SEP,CHINESE CABBAGE,5,4,40,10
ATOK,IRRIGATED,2015,OCT,CHINESE CABBAGE,6,1.5,15,10
ATOK,IRRIGATED,2015,NOV,CHINESE CABBAGE,26.5,1,10,10
ATOK,IRRIGATED,2015,DEC,CHINESE CABBAGE,5,5,55,11
ATOK,IRRIGATED,2015,JAN,LETTUCE,15.11,12.21,109.89,9
ATOK,IRRIGATED,2015,FEB,LETTUCE,5.11,15.11,135.99,9
ATOK,IRRIGATED,2015,MAR,LETTUCE,15.11,15.11,151.1,10
ATOK,IRRIGATED,2015,APR,LETTUCE,12,15.11,151.1,10
ATOK,IRRIGATED,2015,MAY,LETTUCE,11,12,120,10
ATOK,IRRIGATED,2015,JUN,LETTUCE,10,11,110,10
ATOK,IRRIGATED,2015,JUL,LETTUCE,9,10,60,6
ATOK,IRRIGATED,2015,AUG,LETTUCE,8,9,54,6
ATOK,IRRIGATED,2015,SEP,LETTUCE,5,2.5,15.6,6.24
ATOK,IRRIGATED,2015,OCT,LETTUCE,5,5,55,11
ATOK,IRRIGATED,2015,NOV,LETTUCE,16,5,90,18
ATOK,IRRIGATED,2015,DEC,LETTUCE,16,16,112,7
ATOK,IRRIGATED,2015,JAN,CAULIFLOWER,3.12,4.8,52.8,11
ATOK,IRRIGATED,2015,FEB,CAULIFLOWER,6.1,3.08,30.8,10
ATOK,IRRIGATED,2015,MAR,CAULIFLOWER,5.25,2,20,10
ATOK,IRRIGATED,2015,APR,CAULIFLOWER,3,3.12,37.44,12
ATOK,IRRIGATED,2015,MAY,CAULIFLOWER,1.75,6,66,11
ATOK,IRRIGATED,2015,JUN,CAULIFLOWER,5,5.25,57.75,11
ATOK,IRRIGATED,2015,JUL,CAULIFLOWER,5,3,15,5
ATOK,IRRIGATED,2015,AUG,CAULIFLOWER,5,1.75,8.75,5
ATOK,IRRIGATED,2015,SEP,CAULIFLOWER,5,5,55,11
ATOK,IRRIGATED,2015,OCT,CAULIFLOWER,1,5,55,11
ATOK,IRRIGATED,2015,NOV,CAULIFLOWER,2.6,5,55,11
ATOK,IRRIGATED,2015,DEC,CAULIFLOWER,2.4,5,55,11
ATOK,IRRIGATED,2015,JAN,BROCCOLI,4.5,4.8,33.6,7
ATOK,IRRIGATED,2015,FEB,BROCCOLI,6.15,2.5,25,10
ATOK,IRRIGATED,2015,MAR,BROCCOLI,5.35,2.05,16.4,8
ATOK,IRRIGATED,2015,APR,BROCCOLI,5.38,4.5,40.5,9
ATOK,IRRIGATED,2015,MAY,BROCCOLI,3.25,6.15,55.35,9
ATOK,IRRIGATED,2015,JUN,BROCCOLI,2.2,5.35,42.8,8
ATOK,IRRIGATED,2015,JUL,BROCCOLI,5,5.38,32.28,6
ATOK,IRRIGATED,2015,AUG,BROCCOLI,5,3.25,16.25,5
ATOK,IRRIGATED,2015,SEP,BROCCOLI,5,5,55,11
ATOK,IRRIGATED,2015,OCT,BROCCOLI,1.2,5,55,11
ATOK,IRRIGATED,2015,NOV,BROCCOLI,2.75,5,55,11
ATOK,IRRIGATED,2015,DEC,BROCCOLI,2,5,55,11
ATOK,IRRIGATED,2015,JAN,SNAP BEANS,24.5,7.75,69.75,9
ATOK,IRRIGATED,2015,FEB,SNAP BEANS,25,2.85,27.08,9.5
ATOK,IRRIGATED,2015,MAR,SNAP BEANS,19.5,0.75,6.75,9.05
ATOK,IRRIGATED,2015,APR,SNAP BEANS,5,24.5,245,10
ATOK,IRRIGATED,2015,MAY,SNAP BEANS,12.3,25,250,10
ATOK,IRRIGATED,2015,JUN,SNAP BEANS,13.35,19.5,195,10
ATOK,IRRIGATED,2015,JUL,SNAP BEANS,9,5,55,11
